X,Y,OBJECTID,STNCODE,STNNAME,CITY2,STATE,STFIPS,urban
-118.878059000245,34.284759999848,260,MPK,"Moorpark, California",Moorpark,CA,06,YES
-72.626378999647,42.3188579999679,261,NHT,"Northampton, MA",Northampton,MA,25,YES
-89.9275440002722,41.2457650001478,262,KEE,"Kewanee, Illinois",Kewanee,IL,17,
-72.6261009998126,41.9139560001233,263,WNL,"Windsor Locks, Connecticut",Windsor Locks,CT,09,YES
-86.2523720004311,41.8374119997038,264,NLS,"Niles, Michigan",Niles,MI,26,YES
-104.437885999587,36.9010720003395,265,RAT,"Raton, New Mexico",Raton,NM,35,
-81.4342020000307,27.4966319997452,266,SBG,"Sebring, Florida",Sebring,FL,12,YES
-121.237298999714,38.7910060000105,267,RLN,"Rocklin, California",Rocklin,CA,06,YES
-80.0824440003517,42.1208470002238,268,ERI,"Erie, Pennsylvania",Erie,PA,42,YES
-72.765273999883,41.635595000112,269,BER,"Berlin, Connecticut",Berlin,CT,09,YES
-72.5564970001466,42.8508490003244,270,BRA,"Brattleboro, Vermont",Brattleboro,VT,50,
-93.764894000312,41.0371160002196,271,OSC,"Osceola, Iowa",Osceola,IA,19,
-91.0127170004284,38.5614659996747,272,WAH,"Washington, Missouri",Washington,MO,29,
-121.083187000299,38.9036379999543,273,ARN,"Auburn, California",Auburn,CA,06,
-70.3762250004236,43.5143260001079,274,ORB,"Old Orchard Beach, Maine (Seasonal)",Old Orchard Beach,ME,23,YES
-108.740547999627,35.5291760000324,275,GLP,"Gallup, New Mexico",Gallup,NM,35,
-97.3457919999288,31.0958830002366,276,TPL,"Temple, Texas",Temple,TX,48,YES
-75.8209290004227,39.9856880001636,277,COT,"Coatesville, Pennsylvania",Coatesville,PA,42,YES
-117.61973299999,33.4196449997503,278,SNP,"San Clemente Pier, California",San Clemente Pier,CA,06,YES
-88.6366010003004,40.879651999759,279,PON,"Pontiac, Illinois",Pontiac,IL,17,
-77.9934209995921,38.4723600002217,280,CLP,"Culpeper, Virginia",Culpeper,VA,51,
-120.30655199969,47.4215560001041,281,WEN,"Wenatchee, Washington",Wenatchee,WA,53,YES
-90.1764539997929,33.5171589996537,282,GWD,"Greenwood, Mississippi",Greenwood,MS,28,
-122.595924999727,45.3661459998656,283,ORC,"Oregon City, Oregon",Oregon City,OR,41,YES
-96.7131699999703,40.8158709998381,284,LNK,"Lincoln, Nebraska",Lincoln,NE,31,YES
-120.185386999708,39.3276160000324,285,TRU,"Truckee, California",Truckee,CA,06,
-106.495644000164,31.7573460000104,286,ELP,"El Paso, Texas",El Paso,TX,48,YES
-81.9518739996899,28.0456030003376,287,LKL,"Lakeland, Florida",Lakeland,FL,12,YES
-89.777450999658,43.6265089999066,288,WDL,"Wisconsin Dells, Wisconsin",Wisconsin Dells,WI,55,
-72.98153800027,43.6057559998299,289,RUD,"Rutland, Vermont",Rutland,VT,50,
-89.0126090003525,43.3406110002378,290,CBS,"Columbus, Wisconsin",Columbus,WI,55,
-97.1108349999137,47.9175220001664,291,GFK,"Grand Forks, North Dakota",Grand Forks,ND,38,YES
-79.0632910003556,43.1087360000011,292,NFS,VIA Rail Canada Station,Niagara Falls,ND,38,
-93.7408999999714,38.7627500003147,293,WAR,"Warrensburg, Missouri",Warrensburg,MO,29,
-113.219522999844,48.4423330000628,294,GPK,"East Glacier Park, Montana",East Glacier Park,MT,30,
-97.3448859995574,38.0469760003138,295,NEW,"Newton, Kansas",Newton,KS,20,
-72.317272000012,43.6477850002451,296,WRJ,"White River Jct., Vermont",White River Junction,VT,50,
-79.5468929995776,40.3049860001589,297,GNB,"Greensburg, Pennsylvania",Greensburg,PA,42,YES
-91.5507720002597,40.971178999907,298,MTP,"Mt. Pleasant, Iowa",Mount Pleasant,IA,19,
-73.4462839996572,44.6967280002675,299,PLB,"Plattsburgh, New York",Plattsburgh,NY,36,
-80.0911539997695,26.4540209996052,300,DLB,"Delray Beach, Florida",Delray Beach,FL,12,YES
-121.845861000108,39.7232590000857,301,CIC,"Chico, California",Chico,CA,06,YES
-78.2800989997571,35.5327859999381,302,SSM,"Selma, North Carolina",Selma-Smithfield,NC,37,
-75.7535130003447,39.6696859997909,303,NRK,"Newark, Delaware",Newark,DE,10,YES
